step,name,exit_code,produced_output,key_error
01,inspect_profiler,0,,
02,inspect_mem_stats,245,,
03,inspect_callgraph_stats,245,,
04,horn_orig_reg,247,horn_status.csv entry,
05,horn_orig_ptr,247,horn_status.csv entry,
06,horn_orig_mem,247,horn_status.csv entry,
07,smc_typeoff,245,,
08,smc_typeon,245,,
09,smc_instrument,245,/home/jimi/PaperExperiment/CompilerOptimization/Result/redis/seahorn/seahorn-O2-g/result/run_20260322_150324_fixed_fullmatrix/artifact/redis-server_O2_g.smc.bc,
10,ndc_instrument,247,/home/jimi/PaperExperiment/CompilerOptimization/Result/redis/seahorn/seahorn-O2-g/result/run_20260322_150324_fixed_fullmatrix/artifact/redis-server_O2_g.ndc.bc,
11,crab_instrument,247,/home/jimi/PaperExperiment/CompilerOptimization/Result/redis/seahorn/seahorn-O2-g/result/run_20260322_150324_fixed_fullmatrix/artifact/redis-server_O2_g.crab.bc,
12,horn_smc_reg,SKIP,horn_status.csv entry,smc artifact missing main
13,horn_smc_ptr,SKIP,horn_status.csv entry,smc artifact missing main
14,horn_smc_mem,SKIP,horn_status.csv entry,smc artifact missing main
15,horn_ndc_reg,SKIP,horn_status.csv entry,ndc artifact missing main
16,horn_ndc_ptr,SKIP,horn_status.csv entry,ndc artifact missing main
17,horn_ndc_mem,SKIP,horn_status.csv entry,ndc artifact missing main
18,horn_crab_ptr,SKIP,horn_status.csv entry,crab artifact missing main
19,term,250,sea.term.log,"LLVM ERROR: Broken module found, compilation aborted!"
