step,name,exit_code,produced_output,key_error
01,inspect_profiler,0,,
02,inspect_mem_stats,0,,
03,inspect_callgraph_stats,0,,
04,smc_typeoff,0,,
05,smc_typeon,0,,
06,smc_instrument,0,/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/seahorn/seahorn-O2-g/result/run_20260322_101107_fixed_fullmatrix/artifact/libsndfile_sndfile_convert_O2_g.smc.bc,
07,horn_smc_reg,247,horn_status.csv entry,
08,horn_smc_ptr,247,horn_status.csv entry,
09,horn_smc_mem,247,horn_status.csv entry,
10,ndc_instrument,247,/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/seahorn/seahorn-O2-g/result/run_20260322_101107_fixed_fullmatrix/artifact/libsndfile_sndfile_convert_O2_g.ndc.bc,
11,horn_ndc_reg,0,horn_status.csv entry,
12,horn_ndc_ptr,0,horn_status.csv entry,
13,horn_ndc_mem,0,horn_status.csv entry,
14,crab_instrument,247,/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/seahorn/seahorn-O2-g/result/run_20260322_101107_fixed_fullmatrix/artifact/libsndfile_sndfile_convert_O2_g.crab.bc,
15,horn_crab_ptr,0,horn_status.csv entry,
16,term,247,sea.term.log,
